CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb
chr4,154622652,154626851,7097,16,33,57,1,3,6,4199,0.38%,0.79%,1.36%,0.02%,0.07%,0.14%
chr11,3848208,3862213,391,17,51,81,4,10,20,14005,0.12%,0.36%,0.58%,0.03%,0.07%,0.14%
chr9,131580753,131584956,2021,12,21,28,3,4,6,4203,0.29%,0.50%,0.67%,0.07%,0.10%,0.14%
chr1,153084590,153085991,6705,20,42,49,0,0,2,1401,1.43%,3.00%,3.50%,0.00%,0.00%,0.14%
chr20,61975420,62009753,1137,31,85,144,10,30,49,34333,0.09%,0.25%,0.42%,0.03%,0.09%,0.14%
chr9,138370925,138380739,9858,33,69,107,5,9,14,9814,0.34%,0.70%,1.09%,0.05%,0.09%,0.14%
chr10,73507316,73533255,64115,20,57,102,5,17,37,25939,0.08%,0.22%,0.39%,0.02%,0.07%,0.14%
chr9,136379708,136393734,389827,24,80,122,3,12,20,14026,0.17%,0.57%,0.87%,0.02%,0.09%,0.14%
chr1,155107820,155111329,55974,7,23,38,1,3,5,3509,0.20%,0.66%,1.08%,0.03%,0.09%,0.14%
chr19,35810164,35838258,933,24,76,131,5,26,40,28094,0.09%,0.27%,0.47%,0.02%,0.09%,0.14%
chr19,57174020,57183151,90485,29,78,109,2,10,13,9131,0.32%,0.85%,1.19%,0.02%,0.11%,0.14%
chr15,52401460,52404972,10017,11,21,34,2,2,5,3512,0.31%,0.60%,0.97%,0.06%,0.06%,0.14%
chr9,38408991,38424444,347252,22,68,108,2,14,22,15453,0.14%,0.44%,0.70%,0.01%,0.09%,0.14%
chr12,32112304,32146039,55196,30,108,195,7,27,48,33735,0.09%,0.32%,0.58%,0.02%,0.08%,0.14%
chr17,42977135,42982758,388389,11,40,64,2,6,8,5623,0.20%,0.71%,1.14%,0.04%,0.11%,0.14%
chr17,76183398,76203782,125061,41,109,172,6,19,29,20384,0.20%,0.53%,0.84%,0.03%,0.09%,0.14%
chr1,13694889,13698405,391003,6,16,21,2,4,5,3516,0.17%,0.46%,0.60%,0.06%,0.11%,0.14%
chr17,635652,646206,79850,26,72,115,4,7,15,10554,0.25%,0.68%,1.09%,0.04%,0.07%,0.14%
chr19,1275026,1279248,55009,20,52,81,4,6,6,4222,0.47%,1.23%,1.92%,0.09%,0.14%,0.14%
chr9,130628759,130640022,203,17,35,53,5,11,16,11263,0.15%,0.31%,0.47%,0.04%,0.10%,0.14%
chr6,26204858,26206266,554313,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,121504,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8370,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8368,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8366,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8367,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8365,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8364,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8362,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8363,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8361,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8360,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8359,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr6,26204858,26206266,8294,9,20,30,1,2,2,1408,0.64%,1.42%,2.13%,0.07%,0.14%,0.14%
chr16,30535325,30538142,79724,6,20,32,1,4,4,2817,0.21%,0.71%,1.14%,0.04%,0.14%,0.14%
chr1,26798941,26802463,3151,11,36,60,2,2,5,3522,0.31%,1.02%,1.70%,0.06%,0.06%,0.14%
chr17,74372665,74383941,8877,18,41,70,3,9,16,11276,0.16%,0.36%,0.62%,0.03%,0.08%,0.14%
chr1,23516993,23521222,3352,13,25,37,1,3,6,4229,0.31%,0.59%,0.87%,0.02%,0.07%,0.14%
chr17,6915736,6917851,440400,24,45,66,2,2,3,2115,1.13%,2.13%,3.12%,0.09%,0.09%,0.14%
chr20,61436187,61445352,11054,29,67,107,2,6,13,9165,0.32%,0.73%,1.17%,0.02%,0.07%,0.14%
chr8,7397150,7399972,100133251,14,22,23,1,4,4,2822,0.50%,0.78%,0.82%,0.04%,0.14%,0.14%
chr8,7397150,7399972,100131608,14,22,23,1,4,4,2822,0.50%,0.78%,0.82%,0.04%,0.14%,0.14%
chr8,7636113,7638935,100133251,14,22,23,1,4,4,2822,0.50%,0.78%,0.82%,0.04%,0.14%,0.14%
chr8,7636113,7638935,100131608,14,22,23,1,4,4,2822,0.50%,0.78%,0.82%,0.04%,0.14%,0.14%
chr7,72716514,72722864,55695,11,21,26,5,7,9,6350,0.17%,0.33%,0.41%,0.08%,0.11%,0.14%
chr10,98978996,99052413,84986,32,78,130,24,60,104,73417,0.04%,0.11%,0.18%,0.03%,0.08%,0.14%
chr19,56102746,56113336,84922,20,63,111,3,12,15,10590,0.19%,0.59%,1.05%,0.03%,0.11%,0.14%
chr17,7214643,7218883,2874,18,47,73,2,4,6,4240,0.42%,1.11%,1.72%,0.05%,0.09%,0.14%
chr5,174151536,174157896,4488,14,49,84,3,5,9,6360,0.22%,0.77%,1.32%,0.05%,0.08%,0.14%
chr10,3108525,3179904,5214,59,133,208,23,58,101,71379,0.08%,0.19%,0.29%,0.03%,0.08%,0.14%
chr4,3465033,3503200,285489,21,82,145,7,31,54,38167,0.06%,0.21%,0.38%,0.02%,0.08%,0.14%
chr13,25735822,25746426,219287,22,55,98,4,10,15,10604,0.21%,0.52%,0.92%,0.04%,0.09%,0.14%
chr17,7191571,7197934,51087,20,48,74,1,5,9,6363,0.31%,0.75%,1.16%,0.02%,0.08%,0.14%
chr16,3019246,3023490,124222,22,60,96,0,4,6,4244,0.52%,1.41%,2.26%,0.00%,0.09%,0.14%
chr19,40093164,40098116,29124,17,53,72,2,4,7,4952,0.34%,1.07%,1.45%,0.04%,0.08%,0.14%
chr14,70038216,70040339,56936,11,21,32,2,3,3,2123,0.52%,0.99%,1.51%,0.09%,0.14%,0.14%
chr1,36787632,36789755,55194,12,31,38,1,2,3,2123,0.57%,1.46%,1.79%,0.05%,0.09%,0.14%
chr17,38517235,38520067,125111,6,18,26,1,3,4,2832,0.21%,0.64%,0.92%,0.04%,0.11%,0.14%
chr6,169615875,169654139,7058,30,96,143,8,32,54,38264,0.08%,0.25%,0.37%,0.02%,0.08%,0.14%
chr14,24898492,24910540,23351,23,56,100,4,12,17,12048,0.19%,0.46%,0.83%,0.03%,0.10%,0.14%
chr6,43737921,43754224,7422,28,63,94,4,13,23,16303,0.17%,0.39%,0.58%,0.02%,0.08%,0.14%
chr1,43916824,43919660,81888,5,21,28,1,1,4,2836,0.18%,0.74%,0.99%,0.04%,0.04%,0.14%
chr14,94770585,94789731,866,26,57,96,4,18,27,19146,0.14%,0.30%,0.50%,0.02%,0.09%,0.14%
chr9,136125788,136150617,28,35,72,118,8,17,35,24829,0.14%,0.29%,0.48%,0.03%,0.07%,0.14%
chr8,21881636,21894408,10361,12,38,61,4,8,18,12772,0.09%,0.30%,0.48%,0.03%,0.06%,0.14%
chr10,105005644,105007773,729020,4,21,32,0,2,3,2129,0.19%,0.99%,1.50%,0.00%,0.09%,0.14%
chr19,2321516,2328619,51690,25,65,88,0,6,10,7103,0.35%,0.92%,1.24%,0.00%,0.08%,0.14%
chr9,136197552,136203235,6838,25,60,98,3,5,8,5683,0.44%,1.06%,1.72%,0.05%,0.09%,0.14%
chr11,494512,507300,6050,32,69,102,6,15,18,12788,0.25%,0.54%,0.80%,0.05%,0.12%,0.14%
chr19,17445729,17453544,84705,19,61,90,2,6,11,7815,0.24%,0.78%,1.15%,0.03%,0.08%,0.14%
chr17,2287354,2304412,4335,14,53,78,1,15,24,17058,0.08%,0.31%,0.46%,0.01%,0.09%,0.14%
chr1,162336698,162356600,400793,21,58,95,3,15,28,19902,0.11%,0.29%,0.48%,0.02%,0.08%,0.14%
chr6,11102722,11111965,405754,11,36,58,3,10,13,9243,0.12%,0.39%,0.63%,0.03%,0.11%,0.14%
chr1,2517930,2522908,127281,11,24,45,1,4,7,4978,0.22%,0.48%,0.90%,0.02%,0.08%,0.14%
chr20,388142,411610,10616,31,96,136,3,20,33,23468,0.13%,0.41%,0.58%,0.01%,0.09%,0.14%
chr14,94749650,94759608,51156,22,50,87,2,9,14,9958,0.22%,0.50%,0.87%,0.02%,0.09%,0.14%
chr5,196986,218330,133957,25,62,100,6,17,30,21344,0.12%,0.29%,0.47%,0.03%,0.08%,0.14%
chr19,57791419,57804937,10794,21,52,94,5,10,19,13518,0.16%,0.38%,0.70%,0.04%,0.07%,0.14%
chr17,8280838,8286531,6154,8,29,50,0,2,8,5693,0.14%,0.51%,0.88%,0.00%,0.04%,0.14%
chr2,27600098,27603657,130557,4,9,13,1,3,5,3559,0.11%,0.25%,0.37%,0.03%,0.08%,0.14%
chr19,12540521,12551926,10224,16,40,68,5,11,16,11405,0.14%,0.35%,0.60%,0.04%,0.10%,0.14%
chr11,66188475,66194178,266743,11,31,37,2,7,8,5703,0.19%,0.54%,0.65%,0.04%,0.12%,0.14%
chr8,145734457,145736596,113655,15,29,34,2,3,3,2139,0.70%,1.36%,1.59%,0.09%,0.14%,0.14%
chr1,16062900,16067891,284723,9,44,58,0,5,7,4991,0.18%,0.88%,1.16%,0.00%,0.10%,0.14%
chr17,72931814,72946087,347741,11,25,45,2,6,20,14273,0.08%,0.18%,0.32%,0.01%,0.04%,0.14%
chr1,27695603,27701315,8547,10,20,28,5,6,8,5712,0.18%,0.35%,0.49%,0.09%,0.11%,0.14%
chr6,97337189,97345757,29078,16,45,63,3,6,12,8568,0.19%,0.53%,0.74%,0.04%,0.07%,0.14%
chr11,67218772,67220200,390212,9,15,19,0,1,2,1428,0.63%,1.05%,1.33%,0.00%,0.07%,0.14%
chr19,49559050,49568333,4909,15,48,80,2,7,13,9283,0.16%,0.52%,0.86%,0.02%,0.08%,0.14%
chr4,186064395,186071536,291,25,51,80,3,5,10,7141,0.35%,0.71%,1.12%,0.04%,0.07%,0.14%
chr17,42422614,42430470,2896,12,26,41,4,7,11,7856,0.15%,0.33%,0.52%,0.05%,0.09%,0.14%
chr19,47341393,47354249,1175,19,47,64,7,15,18,12856,0.15%,0.37%,0.50%,0.05%,0.12%,0.14%
chr14,24678789,24683075,29082,12,28,47,3,4,6,4286,0.28%,0.65%,1.10%,0.07%,0.09%,0.14%
chr19,53627325,53662328,84671,29,102,154,7,29,49,35003,0.08%,0.29%,0.44%,0.02%,0.08%,0.14%
chr5,177635498,177659792,85007,17,61,121,6,20,34,24294,0.07%,0.25%,0.50%,0.02%,0.08%,0.14%
chr1,172628154,172636014,356,5,24,41,0,6,11,7860,0.06%,0.31%,0.52%,0.00%,0.08%,0.14%
chr10,105232561,105238997,119395,14,33,47,2,8,9,6436,0.22%,0.51%,0.73%,0.03%,0.12%,0.14%
chr11,75273101,75283828,871,17,41,53,6,13,15,10727,0.16%,0.38%,0.49%,0.06%,0.12%,0.14%
chr16,5074845,5084142,51172,30,66,112,2,7,13,9297,0.32%,0.71%,1.20%,0.02%,0.08%,0.14%
chr10,115803806,115806667,153,18,41,58,1,3,4,2861,0.63%,1.43%,2.03%,0.03%,0.10%,0.14%
chr19,6737936,6751537,9322,37,94,141,4,11,19,13601,0.27%,0.69%,1.04%,0.03%,0.08%,0.14%
chr1,150480538,150486265,1893,12,42,69,1,5,8,5727,0.21%,0.73%,1.20%,0.02%,0.09%,0.14%
chr19,708953,748329,5064,44,135,234,8,33,55,39376,0.11%,0.34%,0.59%,0.02%,0.08%,0.14%
chr22,39077953,39080818,56993,10,21,30,2,3,4,2865,0.35%,0.73%,1.05%,0.07%,0.10%,0.14%
chr7,100770370,100782547,5054,26,53,84,4,12,17,12177,0.21%,0.44%,0.69%,0.03%,0.10%,0.14%
chr3,187416047,187420345,344892,20,43,57,3,5,6,4298,0.47%,1.00%,1.33%,0.07%,0.12%,0.14%
chr22,50497820,50524331,23209,24,74,136,8,20,37,26511,0.09%,0.28%,0.51%,0.03%,0.08%,0.14%
chr5,63256183,63258334,3350,8,22,30,2,2,3,2151,0.37%,1.02%,1.39%,0.09%,0.09%,0.14%
chr7,5938356,5965605,221960,31,84,136,5,21,38,27249,0.11%,0.31%,0.50%,0.02%,0.08%,0.14%
chr7,5938356,5965605,51622,31,84,136,5,21,38,27249,0.11%,0.31%,0.50%,0.02%,0.08%,0.14%
chr3,186560463,186576252,9370,31,76,114,4,12,22,15789,0.20%,0.48%,0.72%,0.03%,0.08%,0.14%
chr8,142366600,142377367,2843,25,52,83,4,8,15,10767,0.23%,0.48%,0.77%,0.04%,0.07%,0.14%
chr1,144811744,144830413,200030,31,54,76,10,17,26,18669,0.17%,0.29%,0.41%,0.05%,0.09%,0.14%
chr12,116997186,117014425,643246,25,71,97,7,14,24,17239,0.15%,0.41%,0.56%,0.04%,0.08%,0.14%
chr19,51979838,51994206,729767,27,63,103,6,11,20,14368,0.19%,0.44%,0.72%,0.04%,0.08%,0.14%
chr11,60618413,60623444,11251,17,49,74,1,6,7,5031,0.34%,0.97%,1.47%,0.02%,0.12%,0.14%
chr15,76629065,76634817,64843,11,26,43,2,5,8,5752,0.19%,0.45%,0.75%,0.03%,0.09%,0.14%
chr1,150547032,150552066,4170,13,41,56,1,4,7,5034,0.26%,0.81%,1.11%,0.02%,0.08%,0.14%
chr14,105939299,105946499,1397,26,39,55,3,6,10,7200,0.36%,0.54%,0.76%,0.04%,0.08%,0.14%
chr19,9251056,9274100,57693,25,70,108,8,18,32,23044,0.11%,0.30%,0.47%,0.03%,0.08%,0.14%
chr11,73583712,73588033,51287,22,49,64,3,6,6,4321,0.51%,1.13%,1.48%,0.07%,0.14%,0.14%
chr1,150521884,150533413,54507,14,43,64,6,12,16,11529,0.12%,0.37%,0.56%,0.05%,0.10%,0.14%
chr7,143050493,143059863,9715,15,52,68,2,10,13,9370,0.16%,0.55%,0.73%,0.02%,0.11%,0.14%
chr5,115387163,115395815,644100,32,63,101,4,9,12,8652,0.37%,0.73%,1.17%,0.05%,0.10%,0.14%
chr16,58549383,58554431,79918,23,57,69,1,5,7,5048,0.46%,1.13%,1.37%,0.02%,0.10%,0.14%
chr16,29827832,29831438,79447,7,18,27,2,4,5,3606,0.19%,0.50%,0.75%,0.06%,0.11%,0.14%
chr19,6583194,6604114,970,31,95,154,5,17,29,20920,0.15%,0.45%,0.74%,0.02%,0.08%,0.14%
chr16,3115298,3131908,9235,21,40,62,11,15,23,16610,0.13%,0.24%,0.37%,0.07%,0.09%,0.14%
chr4,177241115,177253396,60559,29,73,113,3,10,17,12281,0.24%,0.59%,0.92%,0.02%,0.08%,0.14%
chr19,2732202,2740150,29985,28,56,78,5,9,11,7948,0.35%,0.70%,0.98%,0.06%,0.11%,0.14%
chr2,241825465,241836306,79919,22,58,85,3,11,15,10841,0.20%,0.54%,0.78%,0.03%,0.10%,0.14%
chr19,54677107,54693733,79143,38,119,169,2,16,23,16626,0.23%,0.72%,1.02%,0.01%,0.10%,0.14%
chr7,150709297,150721586,285973,10,34,55,4,12,17,12289,0.08%,0.28%,0.45%,0.03%,0.10%,0.14%
chr22,37196728,37215523,5816,23,62,89,5,18,26,18795,0.12%,0.33%,0.47%,0.03%,0.10%,0.14%
chr5,75911307,75919259,2151,13,42,67,3,8,11,7952,0.16%,0.53%,0.84%,0.04%,0.10%,0.14%
chr17,79604197,79615779,83882,28,61,102,4,10,16,11582,0.24%,0.53%,0.88%,0.03%,0.09%,0.14%
chr4,165878100,165880273,152756,15,43,74,0,1,3,2173,0.69%,1.98%,3.41%,0.00%,0.05%,0.14%
chr19,43568363,43587197,5670,23,72,122,3,14,26,18834,0.12%,0.38%,0.65%,0.02%,0.07%,0.14%
chr16,54964774,54968397,10265,22,40,65,2,5,5,3623,0.61%,1.10%,1.79%,0.06%,0.14%,0.14%
chr3,194075976,194090472,131578,25,56,82,5,14,20,14496,0.17%,0.39%,0.57%,0.03%,0.10%,0.14%
chr22,36113919,36125530,80831,13,31,45,4,10,16,11611,0.11%,0.27%,0.39%,0.03%,0.09%,0.14%
chr19,41304901,41314338,112398,20,53,84,5,10,13,9437,0.21%,0.56%,0.89%,0.05%,0.11%,0.14%
chr17,41476327,41478505,379,12,40,56,0,4,3,2178,0.55%,1.84%,2.57%,0.00%,0.18%,0.14%
chr22,36649056,36663576,8542,29,70,102,7,15,20,14520,0.20%,0.48%,0.70%,0.05%,0.10%,0.14%
chr4,6709428,6711607,114932,31,73,123,2,3,3,2179,1.42%,3.35%,5.64%,0.09%,0.14%,0.14%
chr22,50946645,50961901,29781,25,78,126,4,16,21,15256,0.16%,0.51%,0.83%,0.03%,0.10%,0.14%
chr19,45574758,45579846,162979,12,31,51,2,6,7,5088,0.24%,0.61%,1.00%,0.04%,0.12%,0.14%
chr20,4760669,4804291,9770,40,100,159,15,37,60,43622,0.09%,0.23%,0.36%,0.03%,0.08%,0.14%
chr1,203136939,203144941,4608,16,48,70,3,8,11,8002,0.20%,0.60%,0.87%,0.04%,0.10%,0.14%
chr17,73996987,74002080,1018,16,32,50,0,3,7,5093,0.31%,0.63%,0.98%,0.00%,0.06%,0.14%
chr2,220433884,220440435,3623,14,35,48,3,7,9,6551,0.21%,0.53%,0.73%,0.05%,0.11%,0.14%
chr19,54610320,54619055,29844,33,100,147,2,9,12,8735,0.38%,1.14%,1.68%,0.02%,0.10%,0.14%
chr9,138387027,138393580,138162,33,71,106,3,5,9,6553,0.50%,1.08%,1.62%,0.05%,0.08%,0.14%
chr11,18714669,18726332,144110,24,63,103,3,10,16,11663,0.21%,0.54%,0.88%,0.03%,0.09%,0.14%
chr3,190023490,190040264,9076,16,52,85,8,16,23,16774,0.10%,0.31%,0.51%,0.05%,0.10%,0.14%
chr8,141521397,141527236,54108,23,54,74,4,8,8,5839,0.39%,0.92%,1.27%,0.07%,0.14%,0.14%
chr19,18699495,18703146,55049,13,34,48,2,3,5,3651,0.36%,0.93%,1.31%,0.05%,0.08%,0.14%
chr1,11724181,11734411,26270,30,66,99,2,6,14,10230,0.29%,0.65%,0.97%,0.02%,0.06%,0.14%
chr17,4402133,4442330,124976,51,109,173,21,37,55,40197,0.13%,0.27%,0.43%,0.05%,0.09%,0.14%
chr15,40763160,40765353,113189,8,30,37,1,3,3,2193,0.36%,1.37%,1.69%,0.05%,0.14%,0.14%
chr17,38904273,38911584,147183,9,40,62,2,7,10,7311,0.12%,0.55%,0.85%,0.03%,0.10%,0.14%
chr19,41381344,41388657,1548,21,53,89,3,5,10,7313,0.29%,0.72%,1.22%,0.04%,0.07%,0.14%
chr12,12867992,12875305,1027,22,59,87,2,4,10,7313,0.30%,0.81%,1.19%,0.03%,0.05%,0.14%
chr17,76106539,76128488,11322,23,65,108,8,17,30,21949,0.10%,0.30%,0.49%,0.04%,0.08%,0.14%
chr7,128349115,128371797,84691,18,50,90,6,18,31,22682,0.08%,0.22%,0.40%,0.03%,0.08%,0.14%
chr1,38509523,38512450,5453,15,40,62,1,1,4,2927,0.51%,1.37%,2.12%,0.03%,0.03%,0.14%
chr13,24881304,24896673,338872,30,67,108,5,12,21,15369,0.20%,0.44%,0.70%,0.03%,0.08%,0.14%
chr16,2089816,2097867,4913,30,62,95,6,8,11,8051,0.37%,0.77%,1.18%,0.07%,0.10%,0.14%
chr19,51883163,51891214,3982,27,50,78,5,8,11,8051,0.34%,0.62%,0.97%,0.06%,0.10%,0.14%
chr5,157158205,157168456,54974,19,53,78,3,10,14,10251,0.19%,0.52%,0.76%,0.03%,0.10%,0.14%
chr17,27887565,27894155,116236,11,24,36,6,9,9,6590,0.17%,0.36%,0.55%,0.09%,0.14%,0.14%
chr6,44187242,44201888,2030,22,53,93,2,10,20,14646,0.15%,0.36%,0.63%,0.01%,0.07%,0.14%
chr10,5990855,6020150,3601,27,74,119,12,24,40,29295,0.09%,0.25%,0.41%,0.04%,0.08%,0.14%
chr9,139738867,139741797,389813,16,42,55,1,4,4,2930,0.55%,1.43%,1.88%,0.03%,0.14%,0.14%
chr3,196673214,196695931,80235,19,60,104,8,21,31,22717,0.08%,0.26%,0.46%,0.04%,0.09%,0.14%
chr22,43547520,43559248,706,30,74,128,4,10,16,11728,0.26%,0.63%,1.09%,0.03%,0.09%,0.14%
chr11,26580580,26593780,143662,24,63,106,1,9,18,13200,0.18%,0.48%,0.80%,0.01%,0.07%,0.14%
chr7,27233122,27239725,3209,15,32,52,2,4,9,6603,0.23%,0.48%,0.79%,0.03%,0.06%,0.14%
chr6,89790470,89794879,10957,14,31,52,1,5,6,4409,0.32%,0.70%,1.18%,0.02%,0.11%,0.14%
chr3,46742823,46752376,259236,20,43,65,2,7,13,9553,0.21%,0.45%,0.68%,0.02%,0.07%,0.14%
chr1,201083081,201096312,647219,24,77,123,2,13,18,13231,0.18%,0.58%,0.93%,0.02%,0.10%,0.14%
chr13,20712394,20735188,2700,25,65,105,6,19,31,22794,0.11%,0.29%,0.46%,0.03%,0.08%,0.14%
chr16,2821415,2827298,6923,19,41,61,3,7,8,5883,0.32%,0.70%,1.04%,0.05%,0.12%,0.14%
chr9,4711155,4742043,50808,34,85,117,10,32,42,30888,0.11%,0.28%,0.38%,0.03%,0.10%,0.14%
chr1,174417212,174418683,9293,14,25,34,2,2,2,1471,0.95%,1.70%,2.31%,0.14%,0.14%,0.14%
chr19,45988547,46000319,6253,13,34,66,2,5,16,11772,0.11%,0.29%,0.56%,0.02%,0.04%,0.14%
chr17,46802125,46806540,10481,15,37,56,1,3,6,4415,0.34%,0.84%,1.27%,0.02%,0.07%,0.14%
chr1,230838269,230850043,183,26,63,112,5,6,16,11774,0.22%,0.54%,0.95%,0.04%,0.05%,0.14%
chr19,51461887,51472929,5653,42,105,156,3,10,15,11042,0.38%,0.95%,1.41%,0.03%,0.09%,0.14%
chr2,239008798,239041928,339768,20,54,103,8,20,45,33130,0.06%,0.16%,0.31%,0.02%,0.06%,0.14%
chr1,151772740,151778630,339398,16,38,48,3,7,8,5890,0.27%,0.65%,0.81%,0.05%,0.12%,0.14%
chr22,19701987,19712295,5413,26,65,97,5,10,14,10308,0.25%,0.63%,0.94%,0.05%,0.10%,0.14%
chr22,19701987,19712295,2812,26,65,97,5,10,14,10308,0.25%,0.63%,0.94%,0.05%,0.10%,0.14%
chr5,126984736,126994322,613212,14,41,52,5,10,13,9586,0.15%,0.43%,0.54%,0.05%,0.10%,0.14%
chr20,61472467,61493115,10732,28,65,102,12,21,28,20648,0.14%,0.31%,0.49%,0.06%,0.10%,0.14%
chr5,154393260,154397685,285643,11,34,55,1,4,6,4425,0.25%,0.77%,1.24%,0.02%,0.09%,0.14%
chr15,41056218,41059906,2644,9,19,24,0,4,5,3688,0.24%,0.52%,0.65%,0.00%,0.11%,0.14%
chr11,7110165,7112379,27288,17,40,48,2,2,3,2214,0.77%,1.81%,2.17%,0.09%,0.09%,0.14%
chr22,51039114,51052409,23542,25,66,114,2,9,18,13295,0.19%,0.50%,0.86%,0.02%,0.07%,0.14%
chr19,40927499,40931932,29950,12,37,61,1,5,6,4433,0.27%,0.83%,1.38%,0.02%,0.11%,0.14%
chr2,113670548,113676459,27178,13,36,52,2,6,8,5911,0.22%,0.61%,0.88%,0.03%,0.10%,0.14%
chr3,184053714,184064063,131408,14,42,83,4,5,14,10349,0.14%,0.41%,0.80%,0.04%,0.05%,0.14%
chr17,76967320,76976191,3959,22,43,68,4,7,12,8871,0.25%,0.48%,0.77%,0.05%,0.08%,0.14%
chr7,141951963,141957878,136541,17,45,67,2,7,8,5915,0.29%,0.76%,1.13%,0.03%,0.12%,0.14%
chr21,47518011,47552763,1292,38,107,189,7,23,47,34752,0.11%,0.31%,0.54%,0.02%,0.07%,0.14%
chr12,6832907,6841041,50813,21,50,75,3,8,11,8134,0.26%,0.61%,0.92%,0.04%,0.10%,0.14%
chr5,172741716,172756506,8614,40,80,111,5,15,20,14790,0.27%,0.54%,0.75%,0.03%,0.10%,0.14%
chr19,36290890,36304201,58510,17,38,58,5,11,18,13311,0.13%,0.29%,0.44%,0.04%,0.08%,0.14%
chr5,72740654,72744352,2297,20,34,52,2,2,5,3698,0.54%,0.92%,1.41%,0.05%,0.05%,0.14%
chr17,1933404,1946724,1801,24,69,108,5,12,18,13320,0.18%,0.52%,0.81%,0.04%,0.09%,0.14%
chr19,17462257,17488159,83483,19,64,96,6,24,35,25902,0.07%,0.25%,0.37%,0.02%,0.09%,0.14%
chr1,149856010,149858232,8349,9,20,25,1,2,3,2222,0.41%,0.90%,1.13%,0.05%,0.09%,0.14%
chr9,94171327,94186144,4783,17,35,61,4,13,20,14817,0.11%,0.24%,0.41%,0.03%,0.09%,0.13%
chr18,596988,650334,27098,52,123,195,27,49,72,53346,0.10%,0.23%,0.37%,0.05%,0.09%,0.13%
chr11,112038095,112043282,56158,19,31,52,0,3,7,5187,0.37%,0.60%,1.00%,0.00%,0.06%,0.13%
chr11,128761251,128790930,3762,27,76,115,10,27,40,29679,0.09%,0.26%,0.39%,0.03%,0.09%,0.13%
chr20,814358,838106,83541,52,158,234,5,19,32,23748,0.22%,0.67%,0.99%,0.02%,0.08%,0.13%
chr21,44473301,44497053,875,30,73,119,7,19,32,23752,0.13%,0.31%,0.50%,0.03%,0.08%,0.13%
chr8,98285717,98290176,85453,16,39,59,2,3,6,4459,0.36%,0.87%,1.32%,0.04%,0.07%,0.13%
chr19,57106632,57137849,58491,29,75,110,13,30,42,31217,0.09%,0.24%,0.35%,0.04%,0.10%,0.13%
chr1,161475220,161493803,2212,17,51,91,3,11,25,18583,0.09%,0.27%,0.49%,0.02%,0.06%,0.13%
chr9,139942550,139948497,954,18,43,60,1,7,8,5947,0.30%,0.72%,1.01%,0.02%,0.12%,0.13%
chr19,55692616,55720874,5794,25,66,108,7,22,38,28258,0.09%,0.23%,0.38%,0.02%,0.08%,0.13%
chr19,1554668,1568057,399664,29,63,97,5,10,18,13389,0.22%,0.47%,0.72%,0.04%,0.07%,0.13%
chr11,123499895,123525952,55800,25,79,114,13,27,35,26057,0.10%,0.30%,0.44%,0.05%,0.10%,0.13%
chr13,113760105,113774995,2155,26,73,113,2,10,20,14890,0.17%,0.49%,0.76%,0.01%,0.07%,0.13%
chr1,47649265,47656716,10158,15,33,45,3,8,10,7451,0.20%,0.44%,0.60%,0.04%,0.11%,0.13%
chr17,289769,295730,359845,14,43,72,1,3,8,5961,0.23%,0.72%,1.21%,0.02%,0.05%,0.13%
chr10,86004809,86019716,5995,20,47,82,3,9,20,14907,0.13%,0.32%,0.55%,0.02%,0.06%,0.13%
chr16,3074028,3077756,79228,23,50,73,2,3,5,3728,0.62%,1.34%,1.96%,0.05%,0.08%,0.13%
chr19,57665389,57678811,503835,15,43,78,5,14,18,13422,0.11%,0.32%,0.58%,0.04%,0.10%,0.13%
